CollegeMsg & 2.19 & 0.06 & 109 & 0.61 & 0.17 & 337 & - & - & - & 1.60 & 1.01 & 130 \\
p2p-Gnutella08 & 12.52 & 0.38 & 125 & 2.32 & 1.47 & 3013 & - & - & - & 7.75 & 5.99 & 157 \\
Wiki-Vote & 22.25 & 1.17 & 175 & 2.31 & 3.24 & 4642 & - & - & - & 7.45 & 10.33 & 296 \\
ca-GrQc & 19.05 & 0.28 & 126 & 4.02 & 0.81 & 1593 & 9.80 & 1.57 & 123 & 10.29 & 1.50 & 153 \\
Epa & 17.86 & 0.12 & 122 & 3.56 & 0.85 & 1779 & 6.00 & 1.78 & 120 & 7.54 & 2.11 & 143 \\
Eva & 12.67 & 0.13 & 120 & 5.32 & 3.21 & 1928 & 0.65 & 0.14 & 111 & 1.15 & 0.17 & 135 \\
p2p-Gnutella05 & 25.03 & 0.12 & 143 & 4.54 & 2.74 & 6274 & - & - & - & 18.56 & 14.52 & 181 \\
p2p-Gnutella04 & 42.51 & 1.70 & 153 & 7.14 & 3.78 & 8169 & - & - & - & 29.36 & 21.41 & 202 \\
p2p-Gnutella09 & 19.40 & 0.43 & 135 & 2.92 & 1.72 & 4990 & - & - & - & 9.98 & 8.11 & 170 \\
ca-HepPh & 146.66 & 1.11 & 195 & 41.16 & 11.04 & 8956 & 165.07 & 42.44 & 262 & 161.13 & 41.36 & 570 \\
ca-HepTh & 54.56 & 1.05 & 127 & 16.10 & 2.19 & 6298 & 52.44 & 9.51 & 156 & 48.08 & 8.35 & 216 \\
ego-Facebook & 22.48 & 1.20 & 152 & 7.18 & 5.06 & 1688 & 28.29 & 11.86 & 188 & 28.97 & 11.48 & 364 \\
email-Eu-core & 1.05 & 0.07 & 102 & 0.39 & 0.10 & 159 & - & - & - & 0.99 & 0.49 & 127 \\
wiki-RfA & 68.90 & 0.28 & 249 & 6.27 & 10.04 & 9286 & - & - & - & 22.33 & 35.05 & 468 \\
RMAT-1024 & 0.35 & 0.01 & 92 & 0.20 & 0.07 & 108 & - & - & - & 0.56 & 0.19 & 105 \\
RMAT-2048 & 0.84 & 0.01 & 103 & 0.32 & 0.16 & 176 & - & - & - & 0.86 & 0.53 & 121 \\
RMAT-3072 & 1.55 & 0.06 & 111 & 0.48 & 0.25 & 261 & - & - & - & 1.34 & 0.94 & 131 \\
RMAT-4096 & 2.75 & 0.01 & 117 & 0.71 & 0.44 & 470 & - & - & - & 2.17 & 1.78 & 153 \\
RMAT-5120 & 4.59 & 0.15 & 122 & 1.07 & 0.73 & 634 & - & - & - & 3.42 & 3.08 & 159 \\
RMAT-6144 & 5.52 & 0.35 & 130 & 1.13 & 0.73 & 768 & - & - & - & 3.84 & 3.78 & 168 \\
RMAT-7168 & 8.79 & 0.06 & 140 & 1.99 & 1.63 & 1464 & - & - & - & 6.56 & 6.61 & 182 \\
RMAT-8192 & 10.67 & 0.16 & 145 & 1.81 & 1.42 & 1360 & - & - & - & 5.79 & 6.31 & 188 \\
RMAT-9216 & 13.24 & 0.07 & 151 & 2.03 & 1.61 & 1650 & - & - & - & 7.23 & 8.16 & 198 \\
RMAT-10240 & 18.50 & 0.95 & 160 & 3.05 & 2.40 & 2473 & - & - & - & 11.86 & 12.70 & 215 \\
RMAT-11264 & 22.23 & 0.99 & 166 & 3.40 & 2.47 & 2572 & - & - & - & 13.13 & 13.93 & 236 \\
RMAT-12288 & 26.98 & 0.83 & 175 & 4.41 & 3.57 & 3129 & - & - & - & 17.12 & 17.52 & 245 \\
RMAT-13312 & 24.21 & 0.18 & 177 & 3.48 & 2.92 & 2996 & - & - & - & 12.23 & 14.02 & 252 \\
RMAT-14336 & 28.46 & 0.14 & 186 & 3.99 & 3.08 & 3669 & - & - & - & 13.14 & 14.53 & 262 \\
RMAT-15360 & 34.26 & 0.20 & 194 & 4.77 & 4.25 & 4035 & - & - & - & 17.92 & 21.92 & 294 \\
RMAT-16384 & 42.83 & 1.26 & 200 & 6.41 & 4.73 & 4941 & - & - & - & 25.13 & 26.33 & 346 \\
